data,visitas,vendas_unidades_pagas,cancelamentos_unidades,preco_transacao_observado,preco_anuncio_historico,promocao_ativa_historica,status_historico,frete_gratis_historico,tipo_anuncio_observado,logistica_historica,marcador_inflexao
2026-06-11,39,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-12,14,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-13,13,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-14,19,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-15,51,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-16,81,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-17,73,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-18,76,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-19,60,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-20,72,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-21,78,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-22,67,1,0,173.25,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-06-23,65,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-24,114,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-25,66,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-26,79,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-27,63,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-28,118,0,1,,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-06-29,85,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-30,103,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-01,137,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-02,140,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-03,110,2,0,173.25|173.25,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-07-04,62,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-05,192,1,1,173.25,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-07-06,103,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-07,128,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-08,105,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-09,109,1,0,173.25,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-07-10,124,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-11,198,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-12,223,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-13,108,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-14,115,1,0,173.25,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-07-15,69,0,2,,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-07-16,159,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-17,140,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-18,150,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-19,119,1,0,173.25,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-07-20,37,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,INFLEXAO
2026-07-21,14,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-22,19,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-23,29,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-24,10,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-25,12,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-26,9,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-27,21,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-28,12,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-29,10,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-30,10,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-31,3,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-08-01,2,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-08-02,1,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-08-03,0,0,0,,173.25,somente candidatas; nenhuma ativa observada,active,true,gold_pro,xd_drop_off,
