data,visitas,vendas_unidades_pagas,cancelamentos_unidades,preco_transacao_observado,preco_anuncio_historico,promocao_ativa_historica,status_historico,frete_gratis_historico,tipo_anuncio_observado,logistica_historica,marcador_inflexao
2026-06-15,74,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-16,125,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-17,174,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-18,42,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-19,38,1,1,171.53,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-06-20,40,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-21,57,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-22,42,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-23,53,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-24,29,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-25,134,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-26,58,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-27,45,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-28,85,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-29,24,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-30,48,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-01,37,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-02,39,1,0,171.53,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-07-03,81,2,0,171.53|171.53,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-07-04,119,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-05,80,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-06,97,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-07,183,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-08,72,1,0,171.53,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-07-09,34,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-10,12,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-11,62,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-12,50,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-13,60,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-14,58,0,1,,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-07-15,60,1,0,171.53,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-07-16,52,1,0,171.53,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-07-17,66,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-18,61,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-19,60,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-20,105,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-21,12,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,INFLEXAO
2026-07-22,0,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-23,0,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-24,0,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-25,0,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-26,0,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-27,0,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-28,0,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-29,0,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-30,0,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-07-31,0,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-08-01,0,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-08-02,1,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-08-03,0,0,0,,171.53,somente candidatas; nenhuma ativa observada,active,true,gold_pro,xd_drop_off,
